Channel;Calibration;Value
0;0,000000;35
1;0,000000;24
2;0,000000;18
3;0,000000;23
4;0,000000;19
5;0,000000;18
6;0,000000;28
7;0,000000;22
8;0,000000;29
9;0,000000;21
10;0,000000;31
11;0,000000;23
12;0,000000;32
13;0,000000;35
14;0,000000;21
15;0,000000;27
16;0,000000;30
17;0,000000;26
18;0,000000;31
19;0,000000;28
20;0,000000;36
21;0,000000;20
22;0,000000;27
23;0,000000;24
24;0,000000;30
25;0,000000;26
26;0,000000;24
27;0,000000;21
28;0,000000;38
29;0,000000;22
30;0,000000;27
31;0,000000;28
32;0,000000;32
33;0,000000;25
34;0,000000;32
35;0,000000;28
36;0,000000;21
37;0,000000;27
38;0,000000;17
39;0,000000;31
40;0,000000;24
41;0,000000;30
42;0,000000;27
43;0,000000;21
44;0,000000;22
45;0,000000;25
46;0,000000;19
47;0,000000;23
48;0,000000;26
49;0,000000;24
50;0,000000;19
51;0,000000;31
52;0,000000;16
53;0,000000;31
54;0,000000;28
55;0,000000;27
56;0,000000;32
57;0,000000;27
58;0,000000;36
59;0,000000;27
60;0,000000;32
61;0,000000;24
62;0,000000;36
63;0,000000;19
64;0,000000;38
65;0,000000;37
66;0,000000;37
67;0,000000;24
68;0,000000;21
69;0,000000;32
70;0,000000;26
71;0,000000;21
72;0,000000;23
73;0,000000;28
74;0,000000;27
75;0,000000;34
76;0,000000;24
77;0,000000;23
78;0,000000;40
79;0,000000;28
80;0,000000;29
81;0,000000;27
82;0,000000;16
83;0,000000;26
84;0,000000;29
85;0,000000;46
86;0,000000;19
87;0,000000;30
88;0,000000;27
89;0,000000;33
90;0,000000;35
91;0,000000;38
92;0,000000;39
93;0,000000;39
94;0,000000;38
95;0,000000;36
96;0,000000;28
97;0,000000;29
98;0,000000;31
99;0,000000;30
100;0,000000;24
101;0,000000;46
102;0,000000;39
103;0,000000;40
104;0,000000;35
105;0,000000;37
106;0,000000;46
107;0,000000;30
108;0,000000;26
109;0,000000;41
110;0,000000;35
111;0,000000;41
112;0,000000;28
113;0,000000;30
114;0,000000;42
115;0,000000;38
116;0,000000;35
117;0,000000;32
118;0,000000;33
119;0,000000;38
120;0,000000;34
121;0,000000;32
122;0,000000;31
123;0,000000;40
124;0,000000;35
125;0,000000;30
126;0,000000;36
127;0,000000;41
128;0,000000;35
129;0,000000;37
130;0,000000;30
131;0,000000;41
132;0,000000;38
133;0,000000;40
134;0,000000;43
135;0,000000;43
136;0,000000;48
137;0,000000;50
138;0,000000;53
139;0,000000;66
140;0,000000;54
141;0,000000;65
142;0,000000;47
143;0,000000;55
144;0,000000;60
145;0,000000;59
146;0,000000;66
147;0,000000;72
148;0,000000;68
149;0,000000;83
150;0,000000;80
151;0,000000;77
152;0,000000;98
153;0,000000;103
154;0,000000;77
155;0,000000;100
156;0,000000;97
157;0,000000;121
158;0,000000;109
159;0,000000;130
160;0,000000;149
161;0,000000;146
162;0,000000;119
163;0,000000;143
164;0,000000;173
165;0,000000;167
166;0,000000;172
167;0,000000;181
168;0,000000;179
169;0,000000;184
170;0,000000;198
171;0,000000;203
172;0,000000;223
173;0,000000;208
174;0,000000;231
175;0,000000;247
176;0,000000;242
177;0,000000;263
178;0,000000;256
179;0,000000;275
180;0,000000;292
181;0,000000;309
182;0,000000;323
183;0,000000;285
184;0,000000;334
185;0,000000;344
186;0,000000;349
187;0,000000;340
188;0,000000;395
189;0,000000;384
190;0,000000;355
191;0,000000;408
192;0,000000;417
193;0,000000;431
194;0,000000;419
195;0,000000;415
196;0,000000;412
197;0,000000;428
198;0,000000;429
199;0,000000;457
200;0,000000;454
201;0,000000;431
202;0,000000;439
203;0,000000;431
204;0,000000;496
205;0,000000;455
206;0,000000;418
207;0,000000;461
208;0,000000;423
209;0,000000;417
210;0,000000;445
211;0,000000;485
212;0,000000;375
213;0,000000;416
214;0,000000;458
215;0,000000;454
216;0,000000;396
217;0,000000;404
218;0,000000;407
219;0,000000;383
220;0,000000;410
221;0,000000;403
222;0,000000;368
223;0,000000;371
224;0,000000;340
225;0,000000;341
226;0,000000;347
227;0,000000;305
228;0,000000;378
229;0,000000;337
230;0,000000;344
231;0,000000;339
232;0,000000;328
233;0,000000;301
234;0,000000;311
235;0,000000;295
236;0,000000;261
237;0,000000;275
238;0,000000;278
239;0,000000;271
240;0,000000;256
241;0,000000;246
242;0,000000;222
243;0,000000;222
244;0,000000;215
245;0,000000;216
246;0,000000;235
247;0,000000;211
248;0,000000;184
249;0,000000;175
250;0,000000;178
251;0,000000;165
252;0,000000;171
253;0,000000;171
254;0,000000;166
255;0,000000;163
256;0,000000;144
257;0,000000;128
258;0,000000;124
259;0,000000;145
260;0,000000;126
261;0,000000;115
262;0,000000;117
263;0,000000;113
264;0,000000;105
265;0,000000;99
266;0,000000;91
267;0,000000;96
268;0,000000;101
269;0,000000;104
270;0,000000;86
271;0,000000;104
272;0,000000;84
273;0,000000;78
274;0,000000;74
275;0,000000;74
276;0,000000;84
277;0,000000;59
278;0,000000;74
279;0,000000;68
